InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
r6gd.12xlarge,ap-northeast-2,apne2-az1,1.8333333333333333,0.37267799624996495,0.8307
c5n.4xlarge,ap-northeast-2,apne2-az3,1.8125,0.8895125850087163,0.7505
c5n.4xlarge,ap-northeast-2,apne2-az1,2.173611111111111,0.90007608560418,0.4815
c5a.16xlarge,ap-northeast-2,apne2-az2,2.0416666666666665,0.1998263134713633,0.9668
m5zn.6xlarge,ap-northeast-2,apne2-az3,2.0694444444444446,0.2542084058017101,0.3777
m4.4xlarge,ap-northeast-2,apne2-az3,1.7569444444444444,0.891678565168103,0.3669
g5.4xlarge,ap-northeast-2,apne2-az1,1.7569444444444444,0.42892837685228496,0.8285
m6gd.12xlarge,ap-northeast-2,apne2-az4,2.0,0.0,0.7929
m5zn.12xlarge,ap-northeast-2,apne2-az1,1.8472222222222223,0.3597731624163505,0.7552
