InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
g4ad.xlarge,us-east-1,use1-az4,3.0,0.0,0.1554
g4ad.xlarge,us-east-1,use1-az2,3.0,0.0,0.1384
g4ad.xlarge,us-east-1,use1-az1,3.0,0.0,0.1405
r5dn.4xlarge,us-east-1,use1-az4,3.0,0.0,0.516
r5dn.4xlarge,us-east-1,use1-az1,3.0,0.0,0.5771
r5dn.4xlarge,us-east-1,use1-az2,3.0,0.0,0.5427
r5dn.4xlarge,us-east-1,use1-az6,3.0,0.0,0.576
r5dn.4xlarge,us-east-1,use1-az5,3.0,0.0,0.5439
m6i.4xlarge,us-east-1,use1-az1,3.0,0.0,0.507
m6i.4xlarge,us-east-1,use1-az2,3.0,0.0,0.423
m6i.4xlarge,us-east-1,use1-az4,3.0,0.0,0.4329
m6i.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4137
m6i.4xlarge,us-east-1,use1-az6,3.0,0.0,0.4767
c5.9xlarge,us-east-1,use1-az6,3.0,0.0,0.6265
c5.9xlarge,us-east-1,use1-az2,3.0,0.0,0.7227
c5.9xlarge,us-east-1,use1-az5,3.0,0.0,0.6641
c5.9xlarge,us-east-1,use1-az1,3.0,0.0,0.8777
c5.9xlarge,us-east-1,use1-az4,3.0,0.0,0.6226
c4.8xlarge,us-east-1,use1-az2,3.0,0.0,0.6929
c4.8xlarge,us-east-1,use1-az5,3.0,0.0,0.7686
c4.8xlarge,us-east-1,use1-az3,3.0,0.0,0.931
c4.8xlarge,us-east-1,use1-az6,3.0,0.0,0.7165
c4.8xlarge,us-east-1,use1-az4,3.0,0.0,0.7477
c4.8xlarge,us-east-1,use1-az1,3.0,0.0,0.976
d2.2xlarge,us-east-1,use1-az2,3.0,0.0,0.4049
d2.2xlarge,us-east-1,use1-az4,3.0,0.0,0.3765
d2.2xlarge,us-east-1,use1-az1,3.0,0.0,0.3524
d2.2xlarge,us-east-1,use1-az3,3.0,0.0,0.4618
d2.2xlarge,us-east-1,use1-az6,3.0,0.0,0.3635
c5n.2xlarge,us-east-1,use1-az1,3.0,0.0,0.2585
c5n.2xlarge,us-east-1,use1-az4,3.0,0.0,0.2303
c5n.2xlarge,us-east-1,use1-az5,3.0,0.0,0.2263
c5n.2xlarge,us-east-1,use1-az6,3.0,0.0,0.2581
c5n.2xlarge,us-east-1,use1-az2,3.0,0.0,0.2372
c6i.4xlarge,us-east-1,use1-az1,3.0,0.0,0.5004
c6i.4xlarge,us-east-1,use1-az6,3.0,0.0,0.4389
c6i.4xlarge,us-east-1,use1-az4,3.0,0.0,0.4402
c6i.4xlarge,us-east-1,use1-az5,3.0,0.0,0.4148
c6i.4xlarge,us-east-1,use1-az2,3.0,0.0,0.387
m4.xlarge,us-east-1,use1-az6,3.0,0.0,0.1086
m4.xlarge,us-east-1,use1-az4,3.0,0.0,0.1026
m4.xlarge,us-east-1,use1-az1,3.0,0.0,0.1217
m4.xlarge,us-east-1,use1-az5,3.0,0.0,0.1123
