InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
m7i-flex.2xlarge,us-east-1,use1-az2,1.0,0.0,0.2539
m7gd.4xlarge,us-east-1,use1-az2,1.0,0.0,0.4575
c1.medium,us-east-1,use1-az1,1.0,0.0,0.0171
m6id.4xlarge,us-east-1,use1-az1,1.0,0.0,0.465
m7gd.2xlarge,us-east-1,use1-az2,1.0,0.0,0.253
c7gn.8xlarge,us-east-1,use1-az4,1.0,0.0,0.9162
m7gd.medium,us-east-1,use1-az2,1.0,0.0,0.0313
x2gd.2xlarge,us-east-1,use1-az1,1.2013888888888888,0.40103790883280305,0.3618
g5.xlarge,us-east-1,use1-az1,1.1666666666666667,0.4714045207910317,0.3457
m1.xlarge,us-east-1,use1-az1,1.0416666666666667,0.19982631347136331,0.0656
a1.metal,us-east-1,use1-az6,1.0,0.0,0.4024
a1.metal,us-east-1,use1-az2,1.0,0.0,0.4012
vt1.3xlarge,us-east-1,use1-az1,1.0,0.0,0.4844
c7gn.large,us-east-1,use1-az4,1.4444444444444444,0.6949997779553779,0.0613
is4gen.medium,us-east-1,use1-az2,1.0,0.0,0.0395
im4gn.4xlarge,us-east-1,use1-az6,1.0763888888888888,0.2656193263736844,0.5958
m6in.8xlarge,us-east-1,use1-az4,1.2916666666666667,0.551198189805123,0.9372
a1.4xlarge,us-east-1,use1-az6,1.0,0.0,0.3578
a1.4xlarge,us-east-1,use1-az2,1.1805555555555556,0.40229856549889553,0.4029
inf1.2xlarge,us-east-1,use1-az5,1.0,0.0,0.3205
inf1.2xlarge,us-east-1,use1-az2,1.0,0.0,0.3235
inf1.2xlarge,us-east-1,use1-az6,1.0,0.0,0.3083
inf1.2xlarge,us-east-1,use1-az1,1.0,0.0,0.3606
inf1.2xlarge,us-east-1,use1-az4,1.0,0.0,0.362
c3.large,us-east-1,use1-az6,1.0,0.0,0.0703
c3.large,us-east-1,use1-az2,1.1388888888888888,0.49456927263235706,0.056
c3.large,us-east-1,use1-az3,1.0,0.0,0.065
c3.large,us-east-1,use1-az4,1.0625,0.24206145913796356,0.06
r6id.2xlarge,us-east-1,use1-az1,1.0,0.0,0.2846
i2.4xlarge,us-east-1,use1-az2,1.0,0.0,0.9192
i2.4xlarge,us-east-1,use1-az1,1.0,0.0,0.9153
m1.large,us-east-1,use1-az1,1.0,0.0,0.0322
x2iezn.4xlarge,us-east-1,use1-az4,1.0,0.0,0.9876
m7gd.xlarge,us-east-1,use1-az2,1.0,0.0,0.1262
c7gn.4xlarge,us-east-1,use1-az4,1.0,0.0,0.471
t1.micro,us-east-1,use1-az6,1.0,0.0,0.003
t1.micro,us-east-1,use1-az4,1.1944444444444444,0.39577241246597245,0.0029
t1.micro,us-east-1,use1-az1,1.0,0.0,0.003
t1.micro,us-east-1,use1-az5,1.0,0.0,0.0027
