InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
c6gn.2xlarge,us-east-1,use1-az2,2.1458333333333335,0.9644280832585589,0.2393
m7a.8xlarge,us-east-1,use1-az5,2.013888888888889,0.1660869547652972,0.9199
g5g.2xlarge,us-east-1,use1-az1,1.9444444444444444,0.9630519901866509,0.3206
g5g.2xlarge,us-east-1,use1-az2,1.9027777777777777,0.9524780869777738,0.3262
g5g.2xlarge,us-east-1,use1-az6,1.9791666666666667,0.9388878616036458,0.3318
g5g.2xlarge,us-east-1,use1-az4,2.1666666666666665,0.8740073734751262,0.3056
x2iedn.2xlarge,us-east-1,use1-az1,1.9305555555555556,0.8870423528797649,0.55
x2iedn.2xlarge,us-east-1,use1-az2,2.1875,0.8816709987291178,0.4922
i4i.2xlarge,us-east-1,use1-az2,1.9027777777777777,0.8359911320340103,0.2952
m5zn.3xlarge,us-east-1,use1-az1,1.8888888888888888,0.9436270973035017,0.4473
m5zn.3xlarge,us-east-1,use1-az2,2.0694444444444446,0.9549053020077275,0.3923
f1.2xlarge,us-east-1,use1-az3,2.236111111111111,0.9051251533406176,0.4882
i2.2xlarge,us-east-1,use1-az1,2.013888888888889,0.11702985796078276,0.5196
g5.4xlarge,us-east-1,use1-az2,2.048611111111111,0.9452355755100823,0.7145
g5.4xlarge,us-east-1,use1-az6,1.9722222222222223,0.9642530532060989,0.6655
a1.2xlarge,us-east-1,use1-az2,1.9305555555555556,0.8632366240700186,0.201
c6in.4xlarge,us-east-1,use1-az1,1.7569444444444444,0.517023099873177,0.4818
m7i-flex.8xlarge,us-east-1,use1-az2,2.1180555555555554,0.3435219501675455,0.9096
m6a.large,us-east-1,use1-az1,2.1319444444444446,0.9446231448585564,0.0562
m6a.8xlarge,us-east-1,use1-az1,2.1597222222222223,0.7787382462502016,0.9373
d3en.4xlarge,us-east-1,use1-az1,2.1319444444444446,0.35836294020668524,0.6578
im4gn.xlarge,us-east-1,use1-az6,2.125,0.7441904624788229,0.1614
r6g.8xlarge,us-east-1,use1-az1,1.8125,0.7902948640996107,0.9181
r6a.4xlarge,us-east-1,use1-az1,2.2222222222222223,0.9312808119022339,0.475
x2iezn.2xlarge,us-east-1,use1-az4,2.125,0.8887803753208976,0.493
f1.4xlarge,us-east-1,use1-az3,2.111111111111111,0.9212846639876111,0.9101
r6gd.4xlarge,us-east-1,use1-az1,2.1875,0.9049919428738946,0.4788
m6in.2xlarge,us-east-1,use1-az6,2.048611111111111,0.680378378297195,0.2165
m5zn.6xlarge,us-east-1,use1-az5,2.0,0.4714045207910317,0.7962
r3.4xlarge,us-east-1,use1-az3,2.2083333333333335,0.5384519993050035,0.5231
m7i-flex.2xlarge,us-east-1,use1-az4,2.0416666666666665,0.896559782972917,0.2527
m6gd.2xlarge,us-east-1,use1-az1,2.0347222222222223,0.8693323942706811,0.2607
g5g.4xlarge,us-east-1,use1-az4,1.8680555555555556,0.8599622712797879,0.5837
g5g.4xlarge,us-east-1,use1-az6,2.2430555555555554,0.8838561957079658,0.6462
g5g.4xlarge,us-east-1,use1-az2,2.0625,0.9145335028186653,0.6442
