InstanceType,Region,AZ,SPS_Mean,SPS_STD,SpotPrice
t3a.micro,us-west-2,usw2-az1,3.0,0.0,0.0061
r5dn.large,us-west-2,usw2-az3,3.0,0.0,0.0601
r5dn.large,us-west-2,usw2-az1,3.0,0.0,0.0881
r5dn.large,us-west-2,usw2-az2,3.0,0.0,0.0526
r5dn.large,us-west-2,usw2-az4,3.0,0.0,0.0603
x2gd.xlarge,us-west-2,usw2-az3,3.0,0.0,0.156
x2gd.xlarge,us-west-2,usw2-az1,3.0,0.0,0.2231
x2gd.xlarge,us-west-2,usw2-az4,3.0,0.0,0.223
x2gd.xlarge,us-west-2,usw2-az2,3.0,0.0,0.2
r5a.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2492
r5a.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2378
r5a.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.2478
r5a.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2125
r6g.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2278
r6g.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.1694
r6g.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1551
r6g.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1539
inf1.xlarge,us-west-2,usw2-az4,3.0,0.0,0.2187
r5.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.7275
r5.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.8436
r5.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.8591
r5.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.9526
r4.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.5957
r4.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.5742
r4.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.5862
r7iz.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.3107
r7iz.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2994
r7iz.2xlarge,us-west-2,usw2-az4,3.0,0.0,0.2212
r7iz.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.2462
m5d.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.8802
m5d.8xlarge,us-west-2,usw2-az4,3.0,0.0,0.8043
m5d.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.8335
m5d.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.9187
r4.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2873
r4.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.2522
r4.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.2862
g5.xlarge,us-west-2,usw2-az1,3.0,0.0,0.3645
g5.xlarge,us-west-2,usw2-az3,3.0,0.0,0.4241
g5.xlarge,us-west-2,usw2-az2,3.0,0.0,0.3761
r6g.4xlarge,us-west-2,usw2-az4,3.0,0.0,0.4578
r6g.4xlarge,us-west-2,usw2-az2,3.0,0.0,0.3298
r6g.4xlarge,us-west-2,usw2-az1,3.0,0.0,0.2928
r6g.4xlarge,us-west-2,usw2-az3,3.0,0.0,0.4652
t3.small,us-west-2,usw2-az2,3.0,0.0,0.0082
t3.small,us-west-2,usw2-az4,3.0,0.0,0.0105
t3.small,us-west-2,usw2-az1,3.0,0.0,0.0092
t3.small,us-west-2,usw2-az3,3.0,0.0,0.0115
i4g.2xlarge,us-west-2,usw2-az3,3.0,0.0,0.2323
i4g.2xlarge,us-west-2,usw2-az1,3.0,0.0,0.1854
i4g.2xlarge,us-west-2,usw2-az2,3.0,0.0,0.1784
t4g.xlarge,us-west-2,usw2-az3,3.0,0.0,0.1175
t4g.xlarge,us-west-2,usw2-az4,3.0,0.0,0.0994
t4g.xlarge,us-west-2,usw2-az1,3.0,0.0,0.0801
t4g.xlarge,us-west-2,usw2-az2,3.0,0.0,0.092
t4g.medium,us-west-2,usw2-az1,3.0,0.0,0.0245
t4g.medium,us-west-2,usw2-az2,3.0,0.0,0.0284
t4g.medium,us-west-2,usw2-az3,3.0,0.0,0.0241
t4g.medium,us-west-2,usw2-az4,3.0,0.0,0.0293
i3.8xlarge,us-west-2,usw2-az2,3.0,0.0,0.948
i3.8xlarge,us-west-2,usw2-az1,3.0,0.0,0.9721
i3.8xlarge,us-west-2,usw2-az3,3.0,0.0,0.8332
