SpotPrice,Savings,SPS,AZ,Region,InstanceType,IF,time
0.216,70,3,sae1-az1,sa-east-1,i3en.xlarge,2.5,2022-07-12 04:20:02+00:00
0.0008,71,3,aps1-az2,ap-south-1,t4g.nano,3.0,2022-07-12 04:20:02+00:00
0.5199,73,3,apse1-az2,ap-southeast-1,c4.8xlarge,2.0,2022-07-12 04:20:02+00:00
0.8847,68,3,euc1-az3,eu-central-1,m6i.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.207,70,3,use2-az3,us-east-2,d2.xlarge,1.0,2022-07-12 04:20:02+00:00
0.152,78,3,use2-az2,us-east-2,c5.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.5333,78,3,euw3-az3,eu-west-3,r5ad.8xlarge,2.5,2022-07-12 04:20:02+00:00
1.1543,51,3,euw1-az1,eu-west-1,c6g.metal,2.5,2022-07-12 04:20:02+00:00
1.0609,62,3,euc1-az3,eu-central-1,c5a.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.8846,55,3,use1-az5,us-east-1,m5n.8xlarge,1.5,2022-07-12 04:20:02+00:00
0.5274,78,3,apne2-az2,ap-northeast-2,r5.8xlarge,2.5,2022-07-12 04:20:02+00:00
0.3622,64,2,use1-az2,us-east-1,g4ad.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.5333,80,3,euw3-az2,eu-west-3,r5d.8xlarge,3.0,2022-07-12 04:20:02+00:00
0.0031,70,3,use1-az1,us-east-1,t3.micro,3.0,2022-07-12 04:20:02+00:00
0.0418,86,3,use2-az1,us-east-2,r5n.xlarge,3.0,2022-07-12 04:20:02+00:00
0.1467,70,3,apne1-az4,ap-northeast-1,inf1.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.0278,70,3,use2-az1,us-east-2,t2.large,3.0,2022-07-12 04:20:02+00:00
1.1543,51,3,euw1-az2,eu-west-1,c6g.metal,2.5,2022-07-12 04:20:02+00:00
1.0987,71,1,apse1-az3,ap-southeast-1,m6i.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.8845,50,3,euw1-az1,eu-west-1,c6g.12xlarge,3.0,2022-07-12 04:20:02+00:00
0.2196,70,3,apne2-az2,ap-northeast-2,i3.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.0672,65,3,euc1-az3,eu-central-1,t3a.xlarge,2.0,2022-07-12 04:20:02+00:00
1.0609,67,3,euc1-az1,eu-central-1,c5ad.16xlarge,2.0,2022-07-12 04:20:02+00:00
0.0346,77,3,euw2-az2,eu-west-2,r5.large,3.0,2022-07-12 04:20:02+00:00
0.03,70,3,euw1-az2,eu-west-1,x2gd.medium,2.5,2022-07-12 04:20:02+00:00
1.1543,51,3,euw1-az3,eu-west-1,c6g.metal,2.5,2022-07-12 04:20:02+00:00
0.0393,54,3,use1-az5,us-east-1,m5a.large,3.0,2022-07-12 04:20:02+00:00
0.152,78,3,use2-az3,us-east-2,c5.4xlarge,3.0,2022-07-12 04:20:02+00:00
1.0962,78,1,apse1-az1,ap-southeast-1,r5ad.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.1467,70,3,apne1-az2,ap-northeast-1,inf1.2xlarge,1.0,2022-07-12 04:20:02+00:00
1.0609,67,3,euc1-az2,eu-central-1,c5ad.16xlarge,2.0,2022-07-12 04:20:02+00:00
1.1543,59,3,euw1-az1,eu-west-1,c6gd.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.03,70,3,euw1-az1,eu-west-1,x2gd.medium,2.5,2022-07-12 04:20:02+00:00
0.8837,83,1,use2-az1,us-east-2,r4.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.0413,68,3,sae1-az1,sa-east-1,c5.large,3.0,2022-07-12 04:20:02+00:00
0.0338,67,3,usw2-az3,us-west-2,m5ad.large,3.0,2022-07-12 04:20:02+00:00
0.216,0,1,usw1-az3,us-west-1,c6gn.xlarge,3.0,2022-07-12 04:20:02+00:00
0.0035,70,3,use1-az4,us-east-1,t2.micro,2.5,2022-07-12 04:20:02+00:00
0.5207,76,3,euw3-az3,eu-west-3,m5d.8xlarge,3.0,2022-07-12 04:20:02+00:00
1.1543,59,3,euw1-az2,eu-west-1,c6gd.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.0311,72,3,apse1-az2,ap-southeast-1,c5d.large,3.0,2022-07-12 04:20:02+00:00
0.8836,65,3,usw1-az1,us-west-1,m5ad.8xlarge,1.5,2022-07-12 04:20:02+00:00
0.0398,64,3,euc1-az3,eu-central-1,m5a.large,3.0,2022-07-12 04:20:02+00:00
0.003,70,3,usw1-az3,us-west-1,t4g.micro,2.5,2022-07-12 04:20:02+00:00
1.0609,67,3,euc1-az3,eu-central-1,c5ad.16xlarge,2.0,2022-07-12 04:20:02+00:00
0.1467,70,3,apne1-az1,ap-northeast-1,inf1.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.5274,76,3,apne2-az3,ap-northeast-2,r5a.8xlarge,3.0,2022-07-12 04:20:02+00:00
0.8835,78,3,use2-az2,us-east-2,r6i.16xlarge,3.0,2022-07-12 04:20:02+00:00
1.061,58,1,use1-az5,us-east-1,c5a.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.152,75,3,use2-az2,us-east-2,c5a.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.03,81,3,eun1-az3,eu-north-1,r5n.large,2.0,2022-07-12 04:20:02+00:00
1.1543,59,2,euw1-az3,eu-west-1,c6gd.16xlarge,2.5,2022-07-12 04:20:02+00:00
0.0393,61,3,use1-az2,us-east-1,m5.large,2.0,2022-07-12 04:20:02+00:00
0.033,81,3,apne2-az2,ap-northeast-2,r5n.large,2.0,2022-07-12 04:20:02+00:00
0.5333,83,3,euw3-az1,eu-west-3,r5dn.8xlarge,1.5,2022-07-12 04:20:02+00:00
1.1543,59,3,euw1-az1,eu-west-1,c6gd.metal,2.5,2022-07-12 04:20:02+00:00
0.0311,72,3,apse1-az1,ap-southeast-1,c5d.large,3.0,2022-07-12 04:20:02+00:00
0.882,70,1,euw1-az3,eu-west-1,d2.4xlarge,1.0,2022-07-12 04:20:02+00:00
1.0615,79,3,use2-az2,us-east-2,m5.24xlarge,2.5,2022-07-12 04:20:02+00:00
4.4537,76,2,sae1-az1,sa-east-1,r5n.24xlarge,2.0,2022-07-12 04:20:02+00:00
1.0631,71,1,usw1-az3,us-west-1,m4.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.1467,61,3,use1-az2,us-east-1,c6gn.2xlarge,3.0,2022-07-12 04:20:02+00:00
0.03,81,3,eun1-az2,eu-north-1,r5n.large,2.0,2022-07-12 04:20:02+00:00
4.0014,70,1,usw2-az2,us-west-2,x2idn.32xlarge,2.0,2022-07-12 04:20:02+00:00
1.091,50,3,use1-az6,us-east-1,c6g.16xlarge,1.5,2022-07-12 04:20:02+00:00
1.1543,59,3,euw1-az2,eu-west-1,c6gd.metal,2.5,2022-07-12 04:20:02+00:00
1.0987,64,1,apse1-az3,ap-southeast-1,m6g.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.3293,57,3,use1-az6,us-east-1,c6i.4xlarge,2.0,2022-07-12 04:20:02+00:00
1.0633,70,3,usw2-az2,us-west-2,m5d.12xlarge,1.0,2022-07-12 04:20:02+00:00
0.882,70,1,euw1-az2,eu-west-1,d2.4xlarge,1.0,2022-07-12 04:20:02+00:00
0.2032,71,3,euc1-az3,eu-central-1,r5.2xlarge,2.5,2022-07-12 04:20:02+00:00
0.3419,71,3,apse1-az1,ap-southeast-1,m5d.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.216,0,1,usw1-az1,us-west-1,c6gn.xlarge,3.0,2022-07-12 04:20:02+00:00
1.1543,59,1,euw1-az3,eu-west-1,c6gd.metal,2.5,2022-07-12 04:20:02+00:00
0.2207,63,3,use1-az4,us-east-1,r5.2xlarge,2.5,2022-07-12 04:20:02+00:00
0.882,70,2,euw1-az1,eu-west-1,d2.4xlarge,1.0,2022-07-12 04:20:02+00:00
1.0645,65,1,apne1-az1,ap-northeast-1,c5a.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.0035,70,3,use1-az5,us-east-1,t2.micro,2.5,2022-07-12 04:20:02+00:00
0.0418,86,3,use2-az3,us-east-2,r5n.xlarge,3.0,2022-07-12 04:20:02+00:00
1.1543,63,3,euw1-az1,eu-west-1,c6gn.16xlarge,3.0,2022-07-12 04:20:02+00:00
0.5333,83,3,euw3-az2,eu-west-3,r5dn.8xlarge,1.5,2022-07-12 04:20:02+00:00
0.8814,70,3,apne3-az2,ap-northeast-3,g4dn.8xlarge,1.5,2022-07-12 04:20:02+00:00
0.03,81,3,eun1-az1,eu-north-1,r5n.large,2.0,2022-07-12 04:20:02+00:00
0.0159,61,3,euw3-az1,eu-west-3,c6g.medium,2.5,2022-07-12 04:20:02+00:00
0.2218,43,3,aps1-az1,ap-south-1,c6gd.4xlarge,3.0,2022-07-12 04:20:02+00:00
0.152,75,3,euw2-az1,eu-west-2,r6i.2xlarge,1.5,2022-07-12 04:20:02+00:00
0.5333,81,3,euw3-az1,eu-west-3,r5n.8xlarge,2.0,2022-07-12 04:20:02+00:00
4.356,70,3,euw1-az3,eu-west-1,f1.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.2016,54,3,usw2-az3,us-west-2,m6g.2xlarge,1.0,2022-07-12 04:20:02+00:00
0.8814,70,3,apne3-az1,ap-northeast-3,g4dn.8xlarge,1.5,2022-07-12 04:20:02+00:00
1.0645,65,2,apne1-az4,ap-northeast-1,c5a.16xlarge,1.0,2022-07-12 04:20:02+00:00
0.0345,74,3,use1-az6,us-east-1,r4.large,3.0,2022-07-12 04:20:02+00:00
0.03,83,3,eun1-az3,eu-north-1,r5dn.large,2.5,2022-07-12 04:20:02+00:00
